first image, second image, featureCountCombined, trueFeatureCountCombined, Fgt: trueSampsonErr, Fgt: trueErrorStdDev, Fgt: trueRootSampsonErr, Fgt: trueRootErrorStdDev, refined F: inlierCountCombined, refined F: trueInlierCountCombined, refined F: sampsonErrCombined, refined F: trueSampsonErr, refined F: trueSampsonErrStdDev, refined F: trueRootSampsonErr, refined F: trueRootSampsonErrStdDev, F_Points: featureCountGood, F_Points: trueFeatureCountGood, F_Points: featureCountComplete, F_Points: trueFeatureCountComplete, F_Points: inlierCountOwnGood, F_Points: trueInlierCountOwnGood, F_Points: inlierCountOwnComplete, F_Points: trueInlierCountOwnComplete, F_Points: inlierCountCombined, F_Points: trueInlierCountCombined, F_Points: sampsonErrOwn, F_Points: sampsonErrComplete, F_Points: sampsonErrCombined, F_Points: sampsonErrStdDevCombined, F_Points: trueSampsonErr, F_Points: trueSampsonErrStdDev, F_Points: trueRootSampsonErr, F_Points: trueRootSampsonErrStdDev, F_Points: quality, H_Lines: featureCountGood, H_Lines: trueFeatureCountGood, H_Lines: featureCountComplete, H_Lines: trueFeatureCountComplete, H_Lines: inlierCountOwnGood, H_Lines: trueInlierCountOwnGood, H_Lines: inlierCountOwnComplete, H_Lines: trueInlierCountOwnComplete, H_Lines: inlierCountCombined, H_Lines: trueInlierCountCombined, H_Lines: sampsonErrOwn, H_Lines: sampsonErrComplete, H_Lines: sampsonErrCombined, H_Lines: sampsonErrStdDevCombined, H_Lines: trueSampsonErr, H_Lines: trueSampsonErrStdDev, H_Lines: trueRootSampsonErr, H_Lines: trueRootSampsonErrStdDev, H_Lines: quality, H_Points: featureCountGood, H_Points: trueFeatureCountGood, H_Points: featureCountComplete, H_Points: trueFeatureCountComplete, H_Points: inlierCountOwnGood, H_Points: trueInlierCountOwnGood, H_Points: inlierCountOwnComplete, H_Points: trueInlierCountOwnComplete, H_Points: inlierCountCombined, H_Points: trueInlierCountCombined, H_Points: sampsonErrOwn, H_Points: sampsonErrComplete, H_Points: sampsonErrCombined, H_Points: sampsonErrStdDevCombined, H_Points: trueSampsonErr, H_Points: trueSampsonErrStdDev, H_Points: trueRootSampsonErr, H_Points: trueRootSampsonErrStdDev, H_Points: quality, time (min)
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2821,2284,0.634262,0.634262,0.552678,0.552678,1975,1718,7272.57,17.5156,84.4976,2.3449,85.8492,470,255,3990,1798,300,143,985,767,1070,822,1.19136,43163.3,530.462,1271.78,571.336,1139.56,14.8651,1268.23,0.741604,939,-1,5854,-1,456,420,1050,882,1582,1505,54.9313,-1,6707.96,31969.7,210.337,451.214,7.35322,494.788,0.814267,470,257,3990,1811,118,117,1134,564,864,844,12.3863,84500.5,1916.85,4112.45,1421.77,2233.75,25.0525,2634.64,0.491897,48.85
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2748,2259,0.546605,0.546605,0.491144,0.491144,1824,1637,2742.85,47.4263,180.986,3.15915,186.323,470,255,3990,1798,300,143,985,767,1087,869,1.19136,43163.3,1081.49,2023.92,1267,2132.39,23.334,2468.7,0.711505,939,-1,5854,-1,494,435,950,808,1702,1554,4.60438,-1,2093.19,9457.17,49.0542,185.937,3.29943,191.486,0.901959,469,257,3990,1817,129,129,1318,656,837,747,18.0658,120199,9115.24,44410.7,616.772,794.176,18.0273,994.67,0.416407,12.4667
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2874,2542,0.448604,0.448604,0.47757,0.47757,1964,1939,683.431,26.8248,154.552,2.17754,156.506,470,255,3990,1798,300,143,985,767,1106,862,1.19136,43163.3,786.307,2145.9,831.777,1472.07,18.7248,1681.76,0.657709,939,-1,5854,-1,476,436,938,876,1936,1910,4.02185,-1,832.089,3744.26,28.7621,148.445,2.2928,150.787,0.988166,470,256,3990,1811,124,124,872,433,960,923,94.0473,145924,4161.2,21343.9,78.5255,376.72,5.85346,383.668,0.43382,6.01667
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3358,2861,0.731931,0.731931,0.544037,0.544037,2899,2853,4500.18,0.412057,1.12232,0.387928,1.12258,470,255,3990,1798,300,143,985,767,1027,790,1.19136,43163.3,1046.85,1858.19,1206.99,1967.39,24.1308,2295.71,0.576179,939,-1,5854,-1,456,393,1084,932,2189,2080,21.4684,-1,10846.3,59841.5,275.418,642.889,7.63549,696.447,0.81773,470,256,3990,1806,124,123,2168,1082,2126,2121,2.03016,45229.3,3937.63,23180.1,8.21987,19.631,2.11868,20.5575,0.82865,33.5333
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3003,2600,0.722995,0.722995,0.530683,0.530683,2030,1889,6103.09,25.1715,83.1086,2.86499,86.0513,470,255,3990,1798,300,143,985,767,999,771,1.19136,43163.3,1142.17,2158.41,1230.61,2028.63,23.9943,2360.47,0.625179,939,-1,5854,-1,458,402,1128,1029,1883,1864,19.4601,-1,7585.38,37357.1,295.091,653.699,8.09036,713.949,0.828574,470,257,3990,1809,106,105,760,378,1213,1175,4.20927,34372.7,6166.69,32083.1,80.463,180.343,5.91717,195.148,0.551423,9.65
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3354,2890,0.295415,0.295415,0.373471,0.373471,2890,2888,3492.79,0.170535,0.746883,0.21646,0.748294,470,255,3990,1798,300,143,985,767,1105,888,1.19136,43163.3,705.327,1491.49,804.35,1583.88,18.1607,1768.32,0.516681,939,-1,5854,-1,526,460,1338,1206,2338,2336,26.3086,-1,9123.57,51691.5,43.2574,157.761,2.59022,162.92,0.682155,470,257,3990,1809,124,124,1136,568,2800,2798,1.0442,39443.7,2868.85,16878,1.78,7.08529,0.906801,7.13891,0.847653,14.5333
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3259,2869,0.270086,0.270086,0.354054,0.354054,2870,2868,4400.87,0.198488,0.711857,0.258814,0.714409,470,255,3990,1798,300,143,985,767,1132,915,1.19136,43163.3,1061.87,1963.8,1103.82,2059.71,21.1399,2327.02,0.560815,939,-1,5854,-1,494,422,1174,1086,2138,2067,9.83914,-1,3091.3,15485.8,211.396,509.532,6.51157,549.195,0.747269,470,256,3990,1821,125,125,1624,811,2516,2513,0.380076,47761.4,6281.58,35913,4.07626,8.48109,1.35932,8.9058,0.832254,8.76667
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,2747,2318,0.681995,0.681995,0.545168,0.545168,1992,1809,572.574,10.6793,23.8745,1.77201,25.4826,470,255,3990,1798,300,143,985,767,1225,944,1.19136,43163.3,620.975,1635.66,708.821,1744.46,15.3521,1877.3,0.703415,939,-1,5854,-1,458,380,838,723,1949,1791,1.4463,-1,630.926,3206.17,11.4148,25.0639,1.78431,26.8512,0.995874,470,257,3990,1808,98,97,1274,637,1612,1592,8.97279,48936.8,9869.04,49061.1,14.3476,60.8664,2.56839,61.9962,0.672978,7.18333
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3034,2428,0.948056,0.948056,0.659045,0.659045,2448,2396,4352.06,0.918217,2.21951,0.632217,2.23787,470,255,3990,1798,300,143,985,767,1203,925,1.19136,43163.3,575.335,1499.97,664.85,1634.19,14.4672,1758.91,0.619924,939,-1,5854,-1,486,376,1082,877,1899,1718,56.0221,-1,5930.09,32066.8,35.0177,122.332,2.83181,126.497,0.67981,470,256,3990,1805,138,137,1488,739,2296,2256,1.4514,46422.4,3816.12,21313.3,2.89931,9.74682,1.14534,9.90344,0.828636,33.5
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0002.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,3059,2611,0.746769,0.746769,0.563324,0.563324,2221,2058,205.617,209.243,651.308,5.78299,682.359,470,255,3990,1798,300,143,985,767,1543,1326,1.19136,43163.3,641.921,1743.21,648.942,1832.24,12.264,1939.75,0.865498,939,-1,5854,-1,496,455,1020,902,1633,1555,651.098,-1,8263.74,40209.2,530.063,1033.45,12.7571,1155.74,0.806967,470,257,3990,1814,91,91,896,448,1037,972,8.72421,53448.1,351.069,1689.62,87.0356,153.59,6.72213,173.328,0.708605,25.45
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,751,646,1.05816,1.05816,0.770557,0.770557,650,645,56.8072,1.09958,1.67543,0.78482,1.70479,64,61,4188,666,62,61,660,638,674,646,1.50846,265068,57.1232,371.343,1.37723,1.88075,0.913438,1.93718,1,158,-1,8578,-1,42,17,72,30,185,129,40.8579,-1,1103.4,3304.79,973.027,1564.24,22.576,1830.74,0.229704,64,61,4188,656,38,37,428,214,576,558,0.660097,264742,87.1908,541.145,12.453,111.573,1.57477,112.103,0.814453,4.16667
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,769,697,1.04568,1.04568,0.75756,0.75756,702,693,62.2239,1.11711,1.87874,0.778056,1.90914,64,61,4188,666,62,61,660,638,713,690,1.50846,265068,63.6113,510.242,1.47056,2.09164,0.933315,2.15963,0.999775,158,-1,8578,-1,42,20,86,59,235,212,50.3508,-1,600.243,3869.54,279.673,515.122,11.4137,580.876,0.284535,64,61,4188,657,39,39,428,214,614,610,0.67915,268240,67.4435,452.772,11.7962,103.574,1.64461,104.071,0.8778,4.28333
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,818,743,0.939942,0.939942,0.729315,0.729315,748,740,8.12626,1.05612,1.90543,0.762667,1.92793,64,61,4188,666,62,61,660,638,756,734,1.50846,265068,9.03843,46.6628,1.39333,2.20418,0.894907,2.2599,1,158,-1,8578,-1,48,37,114,84,298,266,53.2224,-1,228.035,458.368,211.428,406.95,9.81508,454.214,0.322829,64,61,4188,660,40,40,420,210,649,644,0.59877,259888,25.2154,144.803,11.1807,96.4997,1.52713,96.982,0.757592,4.45
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,817,776,1.04627,1.04627,0.766905,0.766905,778,773,6.18597,1.14314,1.77211,0.799719,1.80512,64,61,4188,666,62,61,660,638,795,773,1.50846,265068,6.83855,57.7688,1.57047,2.04519,0.986519,2.12703,1,158,-1,8578,-1,44,41,110,100,416,395,2.68226,-1,100.042,518.911,62.9245,153.514,5.05005,164.074,0.431647,64,61,4188,667,38,37,436,218,749,738,0.634895,258013,13.0938,84.0242,6.29804,55.9618,1.30389,56.1845,0.857825,4.63333
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,799,685,1.15292,1.15292,0.80931,0.80931,687,678,77.5479,1.26789,2.03692,0.841803,2.08107,64,61,4188,666,62,61,660,638,702,679,1.50846,265068,79.7778,517.536,1.66434,2.3855,0.994277,2.47795,1,158,-1,8578,-1,44,28,98,50,260,215,456.294,-1,971.088,2020,907.255,1718.28,19.8985,1934.18,0.312614,64,61,4188,662,39,39,414,207,415,414,3.4561,247257,3983.28,21458.3,1751.61,10409.5,16.0865,10553.4,0.476036,4.35
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,753,663,1.07847,1.07847,0.774295,0.774295,667,657,96.4422,1.13825,1.92964,0.78687,1.96142,64,61,4188,666,62,61,660,638,680,657,1.50846,265068,95.8578,976.811,1.59706,2.17093,0.982449,2.25638,0.999984,158,-1,8578,-1,40,17,74,39,104,55,6013.09,-1,8938.77,25669.2,7169.6,9352.64,65.7829,11747.9,0.124325,64,61,4188,648,39,39,532,266,551,544,0.754245,267123,107.741,968.998,12.8961,96.947,1.70911,97.5913,0.826524,4.35
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,776,669,0.975933,0.975933,0.745138,0.745138,676,668,327.235,1.04754,1.65013,0.7763,1.67231,64,61,4188,666,62,61,660,638,689,667,1.50846,265068,320.654,4405.51,1.36985,1.90712,0.912195,1.96134,1,158,-1,8578,-1,40,15,82,39,131,104,7500.37,-1,17752.7,112799,12834.5,93517.9,53.6909,94388.5,0.155484,64,61,4188,665,38,38,534,267,581,579,0.820052,263645,347.84,4542.49,11.946,98.9747,1.5644,99.5185,0.85919,4.26667
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,859,750,1.2003,1.2003,0.818301,0.818301,748,742,38.8993,1.40784,2.77701,0.860741,2.83046,64,61,4188,666,62,61,660,638,759,735,1.50846,265068,40.4443,268.766,1.76063,3.31545,1.00253,3.40114,1,158,-1,8578,-1,40,22,126,81,427,357,49.0569,-1,235.598,1770.13,105.408,364.371,6.3754,377.607,0.483735,64,61,4188,651,38,37,514,257,483,479,2.69149,250666,3858.22,18325.9,1826.97,9946.77,15.942,10110.5,0.510196,4.6
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,780,683,1.24705,1.24705,0.833328,0.833328,702,675,20.2615,1.25882,2.29976,0.80877,2.34344,64,61,4188,666,62,61,660,638,721,678,1.50846,265068,19.7948,157.73,1.49282,2.11265,0.94972,2.18144,1,158,-1,8578,-1,36,14,92,53,179,139,63.6618,-1,640.902,3331.96,458.59,1807.03,14.1313,1860.96,0.204476,64,61,4188,668,37,36,402,201,632,619,2.61937,261000,37.986,233.867,8.36838,64.9947,1.49821,65.3573,0.805208,4.36667
/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0000.png,/home/johannes/MultipleCueEstimation/Datasets/herz-jesu-P8/0002.png,895,785,1.10872,1.10872,0.76393,0.76393,782,778,10.1882,1.1141,1.91532,0.761116,1.94761,64,61,4188,666,62,61,660,638,819,784,1.50846,265068,10.9588,112.07,1.88688,2.3888,1.08177,2.52099,1,158,-1,8578,-1,42,22,150,105,410,362,6.49879,-1,304.203,2802.09,99.2565,510.713,5.87373,519.191,0.406959,64,61,4188,664,38,38,438,219,700,664,0.606011,259954,30.7381,269.321,11.0585,97.0804,1.65982,97.5349,0.754389,4.68333
first image, second image, featureCountCombined, trueFeatureCountCombined, Fgt: trueSampsonErr, Fgt: trueErrorStdDev, Fgt: trueRootSampsonErr, Fgt: trueRootErrorStdDev, refined F: inlierCountCombined, refined F: trueInlierCountCombined, refined F: sampsonErrCombined, refined F: trueSampsonErr, refined F: trueSampsonErrStdDev, refined F: trueRootSampsonErr, refined F: trueRootSampsonErrStdDev, F_Points: featureCountGood, F_Points: trueFeatureCountGood, F_Points: featureCountComplete, F_Points: trueFeatureCountComplete, F_Points: inlierCountOwnGood, F_Points: trueInlierCountOwnGood, F_Points: inlierCountOwnComplete, F_Points: trueInlierCountOwnComplete, F_Points: inlierCountCombined, F_Points: trueInlierCountCombined, F_Points: sampsonErrOwn, F_Points: sampsonErrComplete, F_Points: sampsonErrCombined, F_Points: sampsonErrStdDevCombined, F_Points: trueSampsonErr, F_Points: trueSampsonErrStdDev, F_Points: trueRootSampsonErr, F_Points: trueRootSampsonErrStdDev, F_Points: quality, H_Lines: featureCountGood, H_Lines: trueFeatureCountGood, H_Lines: featureCountComplete, H_Lines: trueFeatureCountComplete, H_Lines: inlierCountOwnGood, H_Lines: trueInlierCountOwnGood, H_Lines: inlierCountOwnComplete, H_Lines: trueInlierCountOwnComplete, H_Lines: inlierCountCombined, H_Lines: trueInlierCountCombined, H_Lines: sampsonErrOwn, H_Lines: sampsonErrComplete, H_Lines: sampsonErrCombined, H_Lines: sampsonErrStdDevCombined, H_Lines: trueSampsonErr, H_Lines: trueSampsonErrStdDev, H_Lines: trueRootSampsonErr, H_Lines: trueRootSampsonErrStdDev, H_Lines: quality, H_Points: featureCountGood, H_Points: trueFeatureCountGood, H_Points: featureCountComplete, H_Points: trueFeatureCountComplete, H_Points: inlierCountOwnGood, H_Points: trueInlierCountOwnGood, H_Points: inlierCountOwnComplete, H_Points: trueInlierCountOwnComplete, H_Points: inlierCountCombined, H_Points: trueInlierCountCombined, H_Points: sampsonErrOwn, H_Points: sampsonErrComplete, H_Points: sampsonErrCombined, H_Points: sampsonErrStdDevCombined, H_Points: trueSampsonErr, H_Points: trueSampsonErrStdDev, H_Points: trueRootSampsonErr, H_Points: trueRootSampsonErrStdDev, H_Points: quality, time (min)
/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0000.png,/home/johannes/MultipleCueEstimation/Datasets/castle-P30/0003.png,347,259,0.664616,0.664616,0.56496,0.56496,321,247,2.83778,2.10984,3.728,1.09007,3.86548,613,90,7657,896,49,29,398,309,347,259,2.64808,155518,2.68345,2.59961,2.73455,2.5904,1.40749,2.91172,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58333
